No,GoodExample,BadExample,RiskKeywords
1,"분쟁 발생 시 당사자는 분쟁조정위원회 조정을 먼저 진행하고, 불성립 또는 30일 경과 시 소송을 제기할 수 있다. 본 조항은 소송권을 제한하지 않는다.","임차인은 법원에 소를 제기할 수 없고, 임대인이 지정하는 절차로만 분쟁을 해결한다.",소\s*제기\s*불가|제소\s*금지|법원.*이용.*불가|임대인\s*지정.*절차
2,"임대인은 철거·재건축 계획을 계약 전 서면으로 고지하며, 공사로 거주가 곤란하면 임차인은 해지 또는 임대료 감액을 청구할 수 있다.","임대인은 철거·재건축 계획을 통지할 의무가 없고, 공사로 인한 불편에 대한 임대료 감액이나 해지는 허용되지 않는다.",철거|재건축.*(고지.*없|통지.*없)|공사.*(감액\s*불가|해지\s*불가)
3,상세주소(동·호수) 부여를 위해 임대인은 필요한 서류를 제공하고 정당한 사유 없이 동의를 거절하지 않는다.,"임차인은 상세주소 부여 신청을 할 수 없으며, 임대인은 이에 협조하지 않는다.",상세주소.*(불가|거절)|주소\s*부여.*동의.*없
4,"보증금·차임 대출이 거절되면 계약은 무효로 하고, 임대인은 계약금을 즉시 반환한다.",임차인이 대출을 받지 못하더라도 계약은 유효하며 계약금은 반환하지 않는다.,대출.*거절.*(계약\s*유효|계약금.*반환.*않)
5,"차임 연체 시 지연손해금은 법령 범위 내 연 ○% 이하로 일할 계산하며, 정액 가산금은 부과하지 않는다.",월세가 1일만 연체되어도 월세의 20%를 가산금으로 즉시 지급한다.,연체.*((1\d|[2-9]\d)\s*%|정액\s*가산)|일할\s*계산\s*없
6,"잔금 수령과 동시에 근저당·체납세금 등 임차인 권리를 해할 권리는 모두 말소·정리하며, 불이행 시 손해를 배상한다.","임대인은 말소 의무가 없고, 권리관계로 인한 손해는 임차인이 부담한다.",(근저당|가압류|압류|체납).*(말소.*의무.*없|손해.*임차인.*부담)|고지.*의무.*없
7,보증금 잔금 수령 후 5일 동안 제3자 매도나 새로운 권리 설정을 하지 않는다.,보증금 잔금 지급 이후에도 임대인은 즉시 매도하거나 새로운 권리를 설정할 수 있다.,잔금.*(매도|설정).*(즉시|가능)|제3자.*매도.*가능
8,"전대는 임대인의 사전 서면 동의 하에 가능하며, 임대인은 합리적 사유 없이 동의를 거절하지 않는다.","전대는 어떤 경우에도 허용되지 않으며, 위반 시 보증금은 전액 몰수한다.",전대.*(절대|어떠한 경우에도).*불가|전대.*위반.*(보증금.*(몰수|몰취))
9,보일러·상하수도·전기 등 주요 설비의 하자는 임대인이 지체 없이 수선한다.,목적물 하자에 대해 임대인은 수선의무를 지지 않는다.,(임대인).*(수선의무|수리의무).*(없|면제)
10,옵션 가전 하자 시 임대인이 임차인의 고의·과실을 입증하지 못하면 임대인이 수선한다.,에어컨·냉장고·세탁기 등 하자는 모두 임차인이 부담한다.,(에어컨|냉장고|세탁기|가스레인지).*(하자).*(임차인.*부담|임대인.*책임.*없)
11,싱크대·변기·세면대·붙박이장 등 붙박이 하자는 임대인이 수선한다(임차인 고의·과실 입증 시 제외).,붙박이 하자는 임차인이 모두 부담한다.,(싱크대|변기|세면대|신발장|붙박이).*(하자).*(임차인.*부담|임대인.*책임.*없)
12,LED 전구 등 반영구적 소모품 하자는 임대인이 수선한다(임차인 고의·과실 입증 시 제외).,소모품 하자는 전부 임차인이 교체·수리한다.,(LED|전구|소모품).*(하자).*(임차인.*부담|임대인.*책임.*없)
13,"1만원 이하의 소규모 수선은 임차인이, 그 초과 비용은 임대인이 부담한다.",수선 비용은 금액과 관계없이 임차인이 전액 부담한다.,(모든|일체).*(수선|교체).*(임차인.*부담)|1\s*만\s*원.*초과.*임차인
14,계약 종료 시 통상적 사용·마모는 원상회복 대상에서 제외한다.,통상의 손모까지 모두 임차인이 원상회복한다.,통상(의)?\s*손모.*(포함|임차인.*부담)
15,구조부·기본설비의 중대한 하자는 임대인이 우선적으로 수리한다.,주요 설비 하자에 대하여 임대인은 책임이 없다.,주요.*설비.*(면제|책임.*없)
16,"손해배상액은 실제 손해와 증빙에 따라 산정하며, 보증금을 일률적으로 몰수하지 않는다.",임차인 귀책 시 보증금은 전액 위약금으로 몰수한다.,(보증금|계약금).*(전액|정액).*(몰수|몰취)
17,"임차인은 법에서 정한 계약갱신요구권을 행사할 수 있으며, 임대인은 사전 포기를 요구하지 않는다.",임차인은 계약갱신청구권을 행사하지 않으며 추후 주장하지 않는다.,계약갱신(요구)?권.*(포기|행사.*하지 않)
18,해지권은 상호 대칭적으로 부여하고 사유·통지기간을 명확히 정한다.,임대인은 7일 전 통지만으로 언제든지 계약을 해지할 수 있다.,임대인.*(일방|임의).*(해지.*가능)|사전통지.*없.*해지
19,"임대인은 인도일로부터 ○일 이내 보증금을 반환하고, 지체 시 지연손해금을 지급한다.","보증금 반환 기한을 정하지 않으며, 지연이자도 지급하지 않는다.",반환.*기한.*없|보증금.*(지연|지체).*(이자|손해금).*(면제|지급하지 않)
20,전입신고·확정일자 등 권리 보전에 임대인은 협조한다.,전입신고나 확정일자 부여는 허용되지 않는다.,전입신고.*(불가|금지)|확정일자.*(불가|제한)
21,계약 전 등기부 권리관계를 서면으로 고지하고 잔금과 동시에 말소한다.,권리관계는 임대인이 알릴 필요가 없고 말소 의무도 없다.,(근저당|가압류|압류|체납).*(고지.*없|말소.*의무.*없)
22,임대인과 중개사는 사실을 정확히 고지하며 과실이 있으면 책임을 진다.,중개사의 과실은 면책되며 임대인도 고지 의무가 없다.,(중개사|공인중개사).*(면책|책임.*없)|고지.*의무.*없
23,임차인은 확정일자·전세권 설정 등 보증금 보호 수단을 자유롭게 선택할 수 있다.,임차인은 확정일자나 전세권을 설정할 수 없다.,확정일자.*(불가|제한)|전세권.*(설정.*불가|금지)
24,임대료 증액은 법정 한도 내에서만 가능하며 최소 30일 전에 서면 통지한다.,임대료는 임대인이 필요하면 언제든 통지 없이 인상할 수 있다.,(차임|임대료).*(자유|임의).*(인상|증액)|사전\s*통지.*없.*증액
25,"공용부 전기료·수선충당금 등 공용비는 임대인이, 개별 사용분은 임차인이 부담하며 내역·영수증을 제공한다.",관리비와 세금 등 일체 비용은 임차인이 전액 부담하며 영수증은 제공하지 않는다.,관리비.*전액.*임차인|세금.*임차인.*부담|영수증.*제공.*없
26,보증금 반환 지체에 대한 지연손해금 면제 특약은 두지 않으며 권리보전 절차에 협조한다.,보증금 지연 이자는 지급하지 않으며 임차권등기명령 신청에도 협조하지 않는다.,지연손해금.*면제|임차권등기.*(불허|협조.*않)
27,보증금 반환과 임차권등기 말소는 동시이행으로 처리한다.,임차권등기 말소를 먼저 해야만 보증금을 반환한다.,임차권등기.*(말소.*후.*반환|선행.*말소|말소.*조건.*반환)
28,임차인은 본인이 설치·변경한 부분만 원상회복하며 종전 임차인 설치물은 제외한다.,종전 임차인이 설치한 시설까지 임차인이 철거·복구한다.,종전.*임차인.*설치.*(철거|원상복구).*임차인
29,임차인의 채권자 등 제3자는 임대차를 대위해 해지할 수 없으며 단순 대출 연체는 해지 사유가 아니다.,임차인의 대출이 연체되면 채권자가 대신 계약을 해지할 수 있다.,(채권자|금융기관).*(대위.*해지)|대출.*연체.*즉시.*해지
30,"분쟁 해결은 법률이 정한 관할에 따르며, 재판관할을 특정인에게 유리하게 정하지 않는다.",모든 분쟁은 임대인이 지정한 중재기관에서만 해결한다.,전속.*중재|임대인.*지정.*중재|전속\s*관할
31,"임차인은 보증금 반환채권을 양도하거나 담보 제공할 수 있으며, 확정일자 있는 통지 또는 임대인 승낙을 거친다.",보증금 반환채권의 양도·담보 제공은 금지한다.,(보증금|반환채권).*(양도|담보).*(불가|금지)
32,"보증금 반환 지연 시 지연손해금을 지급하고, 임차권등기명령 신청에 임대인은 협조한다.","보증금 반환 기한을 정하지 않고, 임차권등기명령에는 협조하지 않는다.",반환.*기한.*없|임차권등기.*협조.*않
33,소유권 이전·근저당 설정 등 권리변동 시 7일 이내 서면 통지하고 매수인은 계약을 승계한다.,권리변동에 대해 통지하지 않아도 되며 매수인은 계약을 승계하지 않는다.,권리변동.*통지.*없|매수인.*승계.*하지 않
34,임대인은 보증보험·에스크로 등 보증수단을 이용하고 증서를 교부한다.,보증보험 가입 의무가 없으며 에스크로도 제공하지 않는다.,(보증보험|에스크로).*(가입.*하지 않|의무.*없|제공.*불가)
35,임대료 변경은 최소 30일 전에 서면으로 고지한다.,임대료는 사전 통지 없이 즉시 변경될 수 있다.,사전\s*통지.*없.*증액|즉시.*인상
36,관리비 항목·산정 기준을 명시하고 매월 내역과 영수증을 제공한다.,관리비 산정 기준을 제시하지 않으며 영수증도 제공하지 않는다.,(관리비|항목|산정).*(명시.*없)|영수증.*제공.*없
37,임대인·수리업체의 출입은 긴급 상황을 제외하고 최소 24시간 전 통지와 임차인 동의를 요한다.,임대인 또는 대행업체는 사전 통지나 동의 없이 언제든 출입할 수 있다.,출입.*(사전\s*통지.*없|동의.*없).*가능|임대인.*임의.*출입
38,"하자 통지 후 긴급 24시간·일반 5영업일 내 수리하고, 미수리 시 임차인은 자기 수선 후 영수증으로 상계할 수 있다.",하자 수리 기한을 정하지 않으며 임차인의 자기 수선 및 상계는 금지한다.,하자.*(수리.*기한.*없|기간.*정하지 않)|자기\s*수선.*금지|상계.*불가
39,인도 전 기본 청소와 해충 방제를 완료하고 인수인계서를 교부한다.,청소·방제를 하지 않을 수 있으며 인수인계서는 작성하지 않는다.,(청소|방제).*(하지 않|의무.*없)|인수인계서.*(작성.*않|없)
40,입·퇴거 시 사진·영상·체크리스트로 상태를 공동 기록한다.,사진·영상 촬영과 체크리스트 작성을 금지한다.,(사진|영상|체크리스트).*(작성|촬영).*(금지|불가)
41,"공사·수선은 최소 7일 전에 통지하고 평일 업무시간에 시행하며, 장기 공사로 거주 곤란 시 임대료를 일할 감액한다.","공사·수선은 사전 통지 없이 진행하며, 소음·분진에 따른 감액이나 해지는 허용하지 않는다.",(공사|수선).*(사전\s*통지.*없).*진행|감액.*불가|해지.*불가
42,임대인은 전입신고 및 확정일자 부여에 필요한 서류를 제공하고 절차에 협조한다.,임차인의 전입신고·확정일자 진행을 제한하며 서류 제공을 거부한다.,전입신고.*(불가|금지)|확정일자.*(불가|제한)|서류.*제공.*거부
43,"매매 시 매수인은 임대인 지위를 승계하고, 이전 예정일 30일 전에 임차인에게 통지한다.",매수인은 계약을 승계하지 않으며 임차인은 즉시 퇴거한다.,승계.*하지 않|즉시.*퇴거
44,"임대료 입금 계좌의 예금주 명의는 임대인과 일치하여야 하며, 계좌 변경 시 서면 통지한다.",임대인이 지정한 제3자 명의 계좌로 송금하며 변경 통지는 필요 없다.,제3자.*계좌|예금주.*불일치|계좌.*변경.*사전\s*통지.*없
45,개인정보·출입기록·CCTV 영상은 법령에 따라 관리하고 열람·제공 시 사전 동의를 받는다.,개인정보와 CCTV 영상을 임대인이 자유롭게 사용할 수 있으며 동의는 필요 없다.,개인정보.*(자유|임의).*이용|CCTV.*동의.*없
46,임대인은 화재·재난보험에 가입하고 증권 사본을 교부하며 구조·설비 하자 손해는 임대인이 부담한다.,화재·재난보험 가입 의무가 없고 구조·설비 하자로 발생한 손해는 임차인이 부담한다.,보험.*가입.*하지 않|재난.*손해.*임차인.*부담
47,반려동물 양육을 허용하되 합리적 기준을 명시하고 손해는 실제 손해액 범위에서 정산한다.,반려동물을 키우면 계약을 즉시 해지하고 보증금을 전액 몰수한다.,반려동물.*즉시.*해지|반려동물.*보증금.*(몰수|몰취)
48,원상회복 비용 산정 시 감가상각을 반영하고 영수증·정산서를 교부한다.,감가상각을 인정하지 않으며 원상회복 비용은 정액으로 공제하고 정산서를 제공하지 않는다.,감가상각.*불인정|원상회복.*정액|정산서.*제공.*없
49,전자계약 시스템을 사용할 수 있으며 특약과 표준계약서가 상충할 때 임차인에게 과도하게 불리한 해석을 하지 않는다.,"특약은 표준계약서보다 항상 우선하며, 임대인에게 유리하게 해석한다.",특약.*우선.*임차인.*불리|임대인.*유리.*해석
50,전기·가스·수도 요금 등은 계량기 사용량에 따라 정산한다.,공과금은 사용량과 관계없이 정액으로 부과한다.,(공과금|전기|가스|수도).*(정액|고정).*부과|계량.*무관
